 0    1.0000    0.0000    13.8099 0.6771
 1    0.9522    0.0502    13.1328 0.6604
 2    0.9068    0.1028    12.4724 0.6453
 3    0.8635    0.1581    11.8271 0.6291
 4    0.8222    0.2162    11.1980 0.6087
 5    0.7830    0.2771    10.5893 0.5905
 6    0.7456    0.3412     9.9988 0.5700
 7    0.7100    0.4085     9.4289 0.5505
 8    0.6760    0.4793     8.8783 0.5259
 9    0.6438    0.5533     8.3525 0.5060
10    0.6130    0.6313     7.8464 0.4830
11    0.5837    0.7132     7.3635 0.4587
12    0.5559    0.7989     6.9048 0.4382
13    0.5293    0.8893     6.4665 0.4152
14    0.5040    0.9841     6.0513 0.3916
15    0.4800    1.0833     5.6597 0.3724
16    0.4570    1.1882     5.2873 0.3496
17    0.4352    1.2978     4.9378 0.3298
18    0.4144    1.4131     4.6080 0.3099
19    0.3946    1.5342     4.2980 0.2901
20    0.3758    1.6610     4.0079 0.2735
21    0.3578    1.7949     3.7343 0.2541
22    0.3408    1.9343     3.4802 0.2394
23    0.3245    2.0817     3.2408 0.2235
24    0.3090    2.2362     3.0172 0.2094
25    0.2942    2.3990     2.8078 0.1942
26    0.2802    2.5689     2.6136 0.1821
27    0.2668    2.7481     2.4315 0.1704
28    0.2540    2.9370     2.2611 0.1576
29    0.2419    3.1339     2.1035 0.1466
30    0.2304    3.3403     1.9569 0.1371
31    0.2194    3.5579     1.8198 0.1280
32    0.2089    3.7870     1.6918 0.1192
